epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4093,3.14378,3.24403,4.09677,0.05675,0.03415,0.04486,0.01566,2.50565,3.39989,3.83205,0.00332226,0.00332226,0.00332226
2,93.0962,2.11268,2.06984,2.7656,0.51505,0.58803,0.52161,0.18741,1.98123,2.00457,2.95446,0.0065897,0.0065897,0.0065897
3,137.447,1.50187,1.54113,2.11421,0.62012,0.41951,0.37374,0.11939,2.58479,2.62051,3.47189,0.00979115,0.00979115,0.00979115
4,184.267,1.33906,1.35163,1.9112,0.85947,0.62651,0.75235,0.39476,1.63937,1.50388,2.35894,0.009703,0.009703,0.009703
5,230.384,1.23364,1.21599,1.79144,0.92302,0.85366,0.92969,0.57408,1.27603,0.95728,2.1015,0.009604,0.009604,0.009604
6,275.49,1.168,1.12732,1.7175,0.91762,0.65206,0.73418,0.43856,1.53807,1.37213,2.16097,0.009505,0.009505,0.009505
7,318.617,1.12516,1.08964,1.67064,0.94574,0.74634,0.88808,0.58159,1.23208,0.97383,1.9833,0.009406,0.009406,0.009406
8,357.643,1.08919,1.02954,1.62955,0.9,0.84634,0.94445,0.64258,1.15621,0.81667,1.90126,0.009307,0.009307,0.009307
9,397.402,1.07547,1.01829,1.60683,0.9533,0.8878,0.95823,0.62009,1.19265,0.75525,1.98832,0.009208,0.009208,0.009208
10,440.273,1.05503,0.97933,1.57655,0.96911,0.96098,0.96919,0.63612,1.20226,0.61506,1.96923,0.009109,0.009109,0.009109
11,481.876,1.0346,0.94751,1.55027,0.97542,0.96797,0.97479,0.72968,0.97989,0.55518,1.75974,0.00901,0.00901,0.00901
12,523.597,1.01907,0.93505,1.53246,0.97301,0.88293,0.95824,0.62875,1.21746,0.69341,1.95299,0.008911,0.008911,0.008911
13,565.188,1.003,0.90394,1.52134,0.96555,0.90976,0.96741,0.6666,1.10755,0.61328,1.75516,0.008812,0.008812,0.008812
14,607.211,0.9914,0.89416,1.50136,0.98533,0.94146,0.97437,0.6999,1.04254,0.55926,1.75359,0.008713,0.008713,0.008713
15,653.299,0.97787,0.89289,1.49595,0.97072,0.91951,0.96702,0.67931,1.0722,0.59199,1.74904,0.008614,0.008614,0.008614
16,701.184,0.97068,0.87295,1.48821,0.98239,0.95262,0.97354,0.69711,1.05682,0.5803,1.77467,0.008515,0.008515,0.008515
17,743.45,0.9594,0.85926,1.47364,0.97203,0.88293,0.94949,0.64241,1.16479,0.69089,1.84472,0.008416,0.008416,0.008416
18,785.498,0.95029,0.85076,1.46474,0.97727,0.9439,0.97109,0.71397,1.0077,0.54788,1.72212,0.008317,0.008317,0.008317
19,827.65,0.94022,0.83206,1.45052,0.99213,0.92278,0.96806,0.69973,1.02766,0.55005,1.73124,0.008218,0.008218,0.008218
20,869.531,0.93851,0.81813,1.44807,0.97957,0.94634,0.97021,0.70471,1.02348,0.54198,1.73587,0.008119,0.008119,0.008119
21,911.516,0.9229,0.81024,1.43696,0.98367,0.9439,0.97134,0.69504,1.0635,0.53045,1.75592,0.00802,0.00802,0.00802
22,954.377,0.91943,0.80412,1.43341,0.98953,0.96585,0.9749,0.72286,0.9626,0.48323,1.67243,0.007921,0.007921,0.007921
